repo_name,commits
aditirajagopal/docker,397
dongjoon-hyun/docker,377
noironetworks/docker,377
vdemeester/docker,377
docker/docker,377
Djelibeybi/docker,376
yongtang/docker,376
shishir-a412ed/docker,376
Ramzec/docker,376
hypriot/docker,376
sanjeo/docker,376
WeiZhang555/docker,376
daehyeok/docker,376
SUSE/docker.mirror,376
medallia/docker,376
mgoelzer/docker,376
Shopify/docker,376
sebrandon1/docker,376
ardnaxelarak/docker,376
noxiouz/docker,376
nalind/docker,376
rhvgoyal/docker,376
bluebreezecf/docker,376
charleswhchan/docker,376
allencloud/docker,376
projectatomic/docker,376
jessfraz/docker,376
KingEmet/docker,376
londoncalling/docker,376
jimjag/docker,376
tkopczynski/docker,376
coolljt0725/docker,376
mYmNeo/docker,376
cloudflare/docker,376
dnephin/docker,376
splunk/docker,376
twaugh/docker,376
michael-holzheu/docker,376
cpuguy83/docker,376
kencochrane/docker,376
jlebon/docker,376
haoshuwei/docker,376
DieterReuter/docker,376
liubin/docker,376
Yanfeng-Wang/docker,376
msabansal/docker,376
hqhq/docker,376
yp-engineering/docker,376
diogomonica/docker,376
jwhonce/docker,376
dmcgowan/docker,376
gambol99/docker,376
zhuguihua/docker,376
estesp/docker,376
cyphar/docker,376
sdurrheimer/docker,376
jongiddy/docker,376
sfsmithcha/docker,376
yosifkit/docker,376
justincormack/docker,376
hairyhenderson/docker,376
stevvooe/docker,376
rchicoli/docker,376
nghiant2710/docker,376
pecameron/docker,376
amitkris/docker,376
laijs/docker,376
SvenDowideit/docker,376
rlugojr/docker,376
albers/docker,376
wenchma/docker,376
unclejack/docker,376
nawawi/docker,376
jlhawn/docker,376
thaJeztah/docker,376
cr7pt0gr4ph7/docker,376
AkihiroSuda/docker,376
tophj-ibm/docker,376
capkurmagati/docker,376
duglin/docker,376
miminar/docker,376
ollie314/docker,375
toli/docker,375
konstruktoid/docker-1,375
rhardih/docker,375
BenHall/docker,375
rhatdan/docker,375
mbentley/docker,375
mahak/docker,375
wyndell/docker,375
TheBigBear/docker,375
kolyshkin/docker,375
isubuz/docker,375
sheimi/docker,375
xiaods/docker,375
kerneltime/docker,375
errordeveloper/docker,375
Tenk42/docker,375
willmtemple/docker,375
DoraALin/docker,375
sean-jc/docker,374
sunyuan3/docker,374
FWirtz/docker,374
MHBauer/docker,374
anujbahuguna/docker,374
Mashimiao/docker,374
moxiegirl/docker,374
xiaochenshen/docker,374
Altiscale/docker,374
crosbymichael/docker,374
bfirsh/docker,374
runcom/docker,373
inatatsu/docker,373
LaynePeng/docker,373
djs55/docker,372
maxamillion/docker,372
jecarey/docker,372
umerazad/docker,372
endophage/docker,372
rkazak/docker,372
geekylucas/docker,372
achanda/docker,372
nguyentm83/docker,372
TrumanLing/docker,372
OnePaaS/docker,372
cyli/docker,372
pyotr777/docker,372
Microsoft/docker,372
nak3/docker,372
chlorm-forks/docker,372
ZJU-SEL/docker,371
suiyuan2009/docker,371
ivansaracino/docker,371
anortef/docker,371
ailispaw/docker,371
frenkel/docker,371
ehazlett/docker,368
srust/docker,368
HackToday/docker,368
mariussturm/docker,368
solganik/docker,368
tpounds/docker,368
hustcat/docker,368
brahmaroutu/docker,368
contiv/docker,366
Mokolea/docker,366
resin-io/docker,366
ckeyer/docker,366
ObsessiveOrange/docker,366
vsayer/docker,365
icecrime/docker,365
vijaykilari/docker,365
luxas/docker,365
chasebolt/docker,364
gao-feng/docker,364
fsoppelsa/docker,364
ZJUshuaizhou/docker,364
zhangjianfnst/docker,364
jc-m/docker,364
upmio/docker,364
cmehay/docker-1,364
davinashreddy/docker,364
sallyom/docker,364
izarov/docker,364
Krijger/docker,363
aidanhs/docker,361
lindenlab/docker,361
tiborvass/docker,360
carolfh/docker,359
johnsandiford/dockerfiles,358
jessfraz/dockerfiles,358
koep/dockerfiles,358
kimh/docker,357
supasate/docker,357
malnick/docker,357
coreos/docker,356
hyperhq/hypercli,356
HuKeping/docker,356
SaiedKazemi/docker,356
mbanikazemi/docker,355
keloyang/docker,355
fangyuan930917/docker,354
loadingvx/docker,354
fgimenez/docker,354
ricardorsierra/dockerfiles,352
JeffBellegarde/docker,351
hallyn/docker,351
kyle-wang/docker,351
jloehel/docker,350
liaoqingwei/docker,349
skatsuta/docker,349
nigelpoulton/docker,349
pydima/docker,346
swasd/baleno,344
mike1729/docker,343
solanolabs/docker,343
arun-gupta/docker,343
flavio/docker,343
mssola/docker,340
BrianBland/docker,337
fiwareulpgcmirror-org/cloud.docker,336
Test-Betta-Inc/psychic-barnacle,336
Collinux/docker,336
vincentwoo/docker,336
endocode/docker,335
csfrancis/docker,335
aaronlehmann/docker,335
mathewkoshy493/docker,335
rancher/docker,333
ajneu/docker,329
mikebrow/docker,329
clintonskitson/docker,328
Aegeaner/docker,328
Akasurde/docker,326
softprops/docker,326
ItsVeryWindy/docker,326
ktraghavendra/docker,326
mariusGundersen/docker,322
Distrotech/docker,317
mengzechao/docker,317
angryxlt/docker,317
cpswan/docker,317
kytrinyx/docker,317
tbonza/docker,317
zhuohual/docker,317
dbonev/docker,317
rickyzhang82/docker,317
anusha-ragunathan/docker,317
fsouza/docker,317
jasonamyers/docker,316
Neverous/docker,313
s7v7nislands/docker,313
akira-baruah/docker,313
mauidev/docker,313
oceanwu/docker,313
mikedanese/docker,313
qzio/docker,311
jc-m/docker-medallia,311
genedna/docker,311
rhuss/docker,311
pmalmgren/docker,311
jameseggers/docker,311
askb/docker,311
JMesser81/docker,303
sreejithr/docker,303
ashmo123/docker,303
flythecircle/gotojourney,302
zelahi/docker,302
haugene/docker,302
nathanleclaire/docker,301
ChristianBoehlke/docker,301
mrfuxi/docker,300
clnperez/docker,300
armbuild/docker,298
gaobrian/docker,298
sevenot/docker,293
aishraj/docker,293
j-mracek/docker,293
yangdongsheng/docker,293
ekuric/docker,292
lmesz/docker,292
zhouxiaoxiaoxujian/docker,292
juliengk/docker,292
yuewko/docker,292
mqliang/docker,292
jefby/docker,292
ksasi/docker,292
mtrmac/docker,292
jthelin/docker,292
vanpire110/docker,292
vikstrous/docker,292
rgl/docker,292
PatrickAuld/docker,292
varuntomar2003/docker,292
shiroyuki/docker,290
bogdangrigg/docker,290
michael-k/dockerfiles-jessfraz,287
stefanberger/docker,285
bsmr-docker/docker,285
portworx/docker_v1.9.0,284
anthonydahanne/docker,284
scollier/docker,284
kwk/docker,284
zczc0128/docker,284
ngorskig/docker,284
tianon/docker,284
kunalkushwaha/docker,284
shuhuai007/docker,284
YuanZhewei/docker,284
Mic92/docker,284
14rcole/docker,284
LalatenduMohanty/docker,284
asbjornenge/docker,283
EricPai/docker,282
loodse/docker,282
rsmoorthy/docker-1,282
nnordrum/docker,282
masa-ike/docker,281
cwandrews/docker,281
Evalle/docker,281
maaquib/docker,277
tomzhang/docker,277
frachel/docker,276
twistlock/docker,271
mpatlasov/docker,271
rwincewicz/docker,271
gbarboza/docker,270
CodeJuan/docker,270
lyndaoleary/docker,270
wcwxyz/docker,270
circleci/docker,269
makinacorpus/docker,269
gesellix/docker,268
vincentbernat/docker,268
kdomanski/docker,268
RichardScothern/docker,267
harche/docker,267
ndeloof/docker,264
jrjang/docker,264
peterlei/docker,264
buddhamagnet/docker,264
flowlo/docker,261
Gobella/docker,261
BrickXu/docker,261
lyft/docker,260
dgageot/docker,260
jonathanperret/docker,260
Zenithar/docker,256
DDCCOE/docker,256
vegasbrianc/docker,256
chengjinlee/docker,256
linjk/docker,256
4devnull/docker,256
wagzhi/docker,256
beealone/docker,256
susan51531/docker,256
ferbe/docker,256
lordzero0000/docker,256
rajurs/docker,256
originye/docker,256
afein/docker,256
Sleepychord/docker,256
vyshaliOrg/docker,256
liusdu/docker,256
shot/docker,256
andrewnguyen/docker,256
KimTaehee/docker,256
micahhausler/docker,256
toophy/docker,256
franklyhuan/docker-1,256
